,Sentiment_score,Emotion,Episode,Season
rachel,0.4215,Fear,Episode-17-The One With The Cheap Wedding Dress,Season-07
rachel,0.7684,Surprise,Episode-18-The One With Joey’s Award,Season-07
rachel,0.9081,Fear,Episode-19-The One With Ross and Monica’s Cousin,Season-07
rachel,0.8811,Surprise,Episode-20-The One With Rachel’s Big Kiss,Season-07
rachel,0.853,Surprise,Episode-21-The One With The Vows,Season-07
rachel,0.6361,Fear,Episode-22-The One With Chandler’s Dad,Season-07
rachel,0.9825,Surprise,Episode-23-07x24 - The One With Chandler and Monica’s Wedding,Season-07
rachel,0.9272,Surprise,Episode-01-The One After I Do,Season-08
rachel,0.9505,Surprise,Episode-02-The One With The Red Sweater,Season-08
rachel,0.9485,Fear,Episode-03-The One Where Rachel Tells…,Season-08
rachel,0.9675,Surprise,Episode-04-The One With The Videotape,Season-08
rachel,0.831,Surprise,Episode-05-The One With Rachel’s Date,Season-08
rachel,0.9556,Surprise,Episode-06-The One With The Halloween Party,Season-08
rachel,0.9372,Fear,Episode-07-The One With The Stain,Season-08
rachel,0.7154,Sad,Episode-08-The One With The Stripper,Season-08
rachel,0.9371,Sad,Episode-09-The One With The Rumor,Season-08
rachel,0.9532,Fear,Episode-10-The One With Monica’s Boots,Season-08
rachel,0.9803,Surprise,Episode-11-The One With Ross’ Big Step Forward,Season-08
rachel,0.9556,Surprise,Episode-12-The One Where Joey Dates Rachel,Season-08
rachel,0.7003,Surprise,Episode-13-The One Where Chandler Takes a Bath,Season-08
rachel,0.9442,Surprise,Episode-14-The One With The Secret Closet,Season-08
rachel,-0.8126,Surprise,Episode-15-The One With The Birthing Video,Season-08
rachel,0.9274,Surprise,Episode-16-The One Where Joey Tells Rachel,Season-08
rachel,0.1243,Sad,Episode-17-The One With The Tea Leaves,Season-08
rachel,0.9868,Surprise,Episode-18-The One In Massapequa,Season-08
rachel,0.1602,Surprise,Episode-19-The One With Joey’s Interview,Season-08
rachel,0.9725,Surprise,Episode-20-The One With The Baby Shower,Season-08
rachel,0.9716,Happy,Episode-21-The One With The Cooking Class,Season-08
rachel,0.9423,Surprise,Episode-22-The One Where Rachel Is Late,Season-08
rachel,-0.1372,Surprise,Episode-23-08x24 - The One Where Rachel Has A Baby,Season-08
rachel,0.8519,Surprise,Episode-01-The One Where No One Proposes,Season-09
rachel,0.9699,Surprise,Episode-02-The One Where Emma Cries,Season-09
rachel,0.8519,Fear,Episode-03-The One With The Pediatrician,Season-09
rachel,0.5859,Sad,Episode-04-The One With The Sharks,Season-09
rachel,0.9468,Sad,Episode-05-The One With Phoebe's Birthday Dinner,Season-09
rachel,0.9837,Fear,Episode-06-The One With The Male Nanny (200th episode),Season-09
rachel,0.8689,Sad,Episode-07-The One With Ross's Inappropriate Song,Season-09
rachel,-0.3197,Fear,Episode-08-The One With Rachel's Other Sister,Season-09
rachel,0.9284,Surprise,Episode-09-The One With Rachel’s Phone Number,Season-09
rachel,0.6486,Surprise,Episode-10-The One With Christmas In Tulsa,Season-09
rachel,0.9607,Surprise,Episode-11-The One Where Rachel Goes Back To Work,Season-09
rachel,0.9738,Surprise,Episode-12-The One With Phoebe's Rats,Season-09
rachel,-0.8316,Surprise,Episode-13-The One Where Monica Sings,Season-09
rachel,0.9287,Surprise,Episode-14-The One With the Blind Dates,Season-09
rachel,-0.0516,Happy,Episode-15-The One With The Mugging,Season-09
rachel,0.4144,Sad,Episode-16-The One With The Boob Job,Season-09
rachel,0.7184,Fear,Episode-17-The One With The Memorial Service,Season-09
rachel,0.9432,Surprise,Episode-18-The One With The Lottery,Season-09
rachel,0.9862,Surprise,Episode-19-The One With Rachel's Dream,Season-09
rachel,-0.1027,Fear,Episode-20-The One With The Soap Opera Party,Season-09
rachel,0.9633,Sad,Episode-21- The One With The Fertility Test,Season-09
rachel,0.9007,Surprise,Episode-22-The One With The Donor,Season-09
rachel,0.7759,Surprise,Episode-23-09x24 - The One In Barbados,Season-09
rachel,0.9839,Surprise,Episode-01-The One After Joey And Rachel Kiss,Season-10
