,Sentiment_score,Emotion,Episode,Season
joey,0.0516,Surprise,episode 05,Season-05
joey,0.9287,Sad,episode 06,Season-05
joey,0.9216,Fear,episode 07,Season-05
joey,0.9724,Surprise,episode 08,Season-05
joey,0.6124,Surprise,episode 09,Season-05
joey,0.9686,Surprise,episode 10,Season-05
joey,0.9857,Surprise,episode 11,Season-05
joey,0.4404,Sad,episode 12,Season-05
joey,0.4889,Fear,episode 13,Season-05
joey,-0.0258,Sad,episode 14,Season-05
joey,0.93,Surprise,episode 15,Season-05
joey,0.9741,Surprise,episode 16,Season-05
joey,0.8158,Fear,episode 17,Season-05
joey,0.9549,Surprise,episode 18,Season-05
joey,0.0258,Fear,episode 19,Season-05
joey,0.847,Surprise,episode 20,Season-05
joey,0.8059,Surprise,episode 21,Season-05
joey,-0.8126,Surprise,episode 22,Season-05
joey,0.879,Fear,episode 23,Season-05
joey,0.8271,Fear,episode 01,Season-06
joey,0.2023,Surprise,episode 02,Season-06
joey,0.9805,Surprise,episode 03,Season-06
joey,0.6705,Surprise,episode 04,Season-06
joey,0.9514,Fear,episode 05,Season-06
joey,0.9638,Surprise,episode 06,Season-06
joey,0.9661,Surprise,episode 07,Season-06
joey,0.9705,Surprise,episode 08,Season-06
joey,0.836,Sad,episode 09,Season-06
joey,0.9789,Surprise,episode 10,Season-06
joey,0.8183,Surprise,episode 11,Season-06
joey,0.9903,Fear,episode 12,Season-06
joey,0.9836,Happy,episode 13,Season-06
joey,-0.7712,Surprise,episode 14,Season-06
joey,0.9954,Surprise,episode 15,Season-06
joey,0.2263,Surprise,episode 17,Season-06
joey,0.9246,Surprise,episode 18,Season-06
joey,0.3818,Surprise,episode 19,Season-06
joey,0.7859,Fear,episode 20,Season-06
joey,0.8428,Fear,episode 21,Season-06
joey,0.8658,Surprise,episode 22,Season-06
joey,0.8481,Surprise,episode 23,Season-06
joey,0.8487,Surprise,episode 24,Season-06
joey,0.7741,Surprise,episode 01,Season-07
joey,-0.9004,Sad,episode 02,Season-07
joey,0.9532,Surprise,episode 03,Season-07
joey,0.919,Surprise,episode 04,Season-07
joey,0.9698,Surprise,episode 05,Season-07
joey,0.9733,Surprise,episode 06,Season-07
joey,0.9868,Surprise,episode 07,Season-07
joey,-0.4404,Sad,episode 08,Season-07
joey,0.3729,Surprise,episode 09,Season-07
joey,0,Surprise,episode 10,Season-07
joey,-0.7717,Surprise,episode 11,Season-07
joey,-0.3612,Fear,episode 12,Season-07
joey,-0.2023,Surprise,episode 13,Season-07
joey,0.6087,Surprise,episode 14,Season-07
joey,0.9833,Fear,episode 15,Season-07
joey,0.9861,Surprise,episode 16,Season-07
joey,0.9634,Surprise,episode 17,Season-07
joey,0.9509,Fear,episode 18,Season-07
joey,0.9871,Surprise,episode 19,Season-07
joey,0.9254,Surprise,episode 20,Season-07
joey,0.8519,Surprise,episode 21,Season-07
joey,0.9287,Surprise,episode 22,Season-07
joey,0.6743,Surprise,episode 23,Season-07
joey,0.9083,Surprise,episode 01,Season-08
joey,-0.4019,Surprise,episode 02,Season-08
joey,0.2732,Surprise,episode 03,Season-08
joey,0.9898,Fear,episode 04,Season-08
joey,0.8957,Surprise,episode 05,Season-08
joey,-0.946,Fear,episode 06,Season-08
joey,0.9393,Surprise,episode 07,Season-08
joey,0.128,Fear,episode 08,Season-08
joey,0.2732,Fear,episode 09,Season-08
joey,0.9685,Fear,episode 10,Season-08
joey,-0.6808,Fear,episode 11,Season-08
joey,0.9771,Surprise,episode 12,Season-08
joey,-0.2516,Fear,episode 13,Season-08
joey,0.976,Surprise,episode 14,Season-08
joey,0.9729,Surprise,episode 15,Season-08
joey,0.9538,Surprise,episode 16,Season-08
joey,-0.5267,Surprise,episode 17,Season-08
joey,-0.0772,Surprise,episode 18,Season-08
joey,0.9911,Surprise,episode 19,Season-08
joey,0.9655,Fear,episode 20,Season-08
joey,-0.128,Surprise,episode 21,Season-08
joey,-0.6124,Surprise,episode 22,Season-08
joey,0.8402,Fear,episode 23,Season-08
joey,-0.6865,Surprise,episode 01,Season-09
joey,0.4718,Surprise,episode 02,Season-09
joey,0.9538,Surprise,episode 03,Season-09
joey,0.6809,Surprise,episode 04,Season-09
joey,0.946,Fear,episode 05,Season-09
joey,0.8242,Surprise,episode 06,Season-09
joey,0.8885,Surprise,episode 07,Season-09
joey,0.9633,Surprise,episode 08,Season-09
joey,-0.5719,Surprise,episode 09,Season-09
joey,0.802,Surprise,episode 10,Season-09
joey,0.9607,Sad,episode 11,Season-09
joey,0.9723,Surprise,episode 12,Season-09
joey,0.8442,Surprise,episode 13,Season-09
joey,0.9657,Surprise,episode 14,Season-09
joey,0.9899,Surprise,episode 15,Season-09
joey,-0.891,Fear,episode 16,Season-09
joey,0.9434,Surprise,episode 17,Season-09
joey,0.8555,Surprise,episode 18,Season-09
joey,0.9854,Surprise,episode 19,Season-09
joey,0.9589,Surprise,episode 20,Season-09
joey,0.7867,Surprise,episode 21,Season-09
joey,0.9538,Happy,episode 22,Season-09
joey,0.8787,Surprise,episode 23,Season-09
joey,0.9387,Surprise,episode 01,Season-10
joey,0.976,Surprise,episode 02,Season-10
joey,0.7787,Surprise,episode 03,Season-10
joey,0.9686,Surprise,episode 04,Season-10
joey,0.9929,Surprise,episode 05,Season-10
joey,0.7906,Surprise,episode 06,Season-10
joey,0.9594,Surprise,episode 07,Season-10
joey,0.9307,Sad,episode 08,Season-10
joey,0.9785,Surprise,episode 09,Season-10
joey,-0.7845,Surprise,episode 10,Season-10
joey,0.7402,Surprise,episode 11,Season-10
joey,0.9574,Fear,episode 12,Season-10
